feature,spearman_rho,p_value,significant,abs_rho
glszm_ZoneEntropy,0.9799777530589545,3.606584052044767e-21,True,0.9799777530589545
glrlm_RunEntropy,0.9666295884315905,4.240242280457101e-18,True,0.9666295884315905
firstorder_StandardDeviation,0.9639599555061179,1.2251244126918096e-17,True,0.9639599555061179
firstorder_Entropy,0.9590656284760846,7.068084459776344e-17,True,0.9590656284760846
glszm_GrayLevelNonUniformity,0.950166852057842,1.050509746616059e-15,True,0.950166852057842
glszm_ZonePercentage,0.950166852057842,1.050509746616059e-15,True,0.950166852057842
custom_mean_calcium_hu,0.9337041156840934,5.1575342831570894e-14,True,0.9337041156840934
firstorder_Mean,0.9337041156840934,5.1575342831570894e-14,True,0.9337041156840934
firstorder_Maximum,0.9052280311457174,6.41748747133915e-12,True,0.9052280311457174
custom_max_calcium_hu,0.9052280311457174,6.41748747133915e-12,True,0.9052280311457174
firstorder_Skewness,-0.9043381535038933,7.2734757407587925e-12,True,0.9043381535038933
glszm_LargeAreaEmphasis,-0.8954393770856508,2.3879682063376032e-11,True,0.8954393770856508
glrlm_LongRunEmphasis,-0.8896551724137931,4.8911052440599914e-11,True,0.8896551724137931
glcm_ClusterShade,0.8478309232480534,3.3613592802738743e-09,True,0.8478309232480534
shape_Elongation,-0.8380422691879867,7.548697157347652e-09,True,0.8380422691879867
custom_lesion_count,0.7423472453680349,2.6492511311506516e-06,True,0.7423472453680349
custom_max_inter_lesion_distance_mm,0.7374860956618465,3.3290841707410335e-06,True,0.7374860956618465
custom_mean_lesion_volume_mm3,-0.660956618464961,7.01163263453138e-05,True,0.660956618464961
shape_SurfaceVolumeRatio,-0.517686318131257,0.0033899231546627305,True,0.517686318131257
glcm_Correlation,0.49988876529477194,0.004911002394510981,True,0.49988876529477194
custom_total_calcium_volume_mm3,0.4834260289210234,0.006803320313949212,True,0.4834260289210234
shape_MeshVolume,0.4834260289210234,0.006803320313949212,True,0.4834260289210234
custom_mean_inter_lesion_distance_mm,0.4567296996662959,0.011176201939227819,True,0.4567296996662959
glszm_SmallAreaEmphasis,0.4295884315906563,0.017828242790330823,True,0.4295884315906563
shape_Maximum3DDiameter,0.2699454918402128,0.14911413718858732,False,0.2699454918402128
glcm_JointEntropy,0.2186874304783092,0.2456322170304461,False,0.2186874304783092
glrlm_ShortRunEmphasis,0.21290322580645163,0.2586536088355618,False,0.21290322580645163
glrlm_RunPercentage,0.20355951056729701,0.2806268850945985,False,0.20355951056729701
glcm_Idm,-0.20311457174638486,0.2817022290742302,False,0.20311457174638486
glcm_Contrast,0.19154616240266964,0.3105873971119166,False,0.19154616240266964
shape_Sphericity,0.12569521690767518,0.508073795325686,False,0.12569521690767518
glrlm_GrayLevelNonUniformity,0.09454949944382647,0.6192033775609248,False,0.09454949944382647
